package	version	architecture	source_package	source_version
adduser	3.134	all	adduser	3.134
apt	2.6.1	arm64	apt	2.6.1
base-files	12.4+deb12u15	arm64	base-files	12.4+deb12u15
base-passwd	3.6.1	arm64	base-passwd	3.6.1
bash	5.2.15-2+b13	arm64	bash	5.2.15-2
bsdutils	1:2.38.1-5+deb12u3	arm64	util-linux	2.38.1-5+deb12u3
coreutils	9.1-1	arm64	coreutils	9.1-1
dash	0.5.12-2	arm64	dash	0.5.12-2
debconf	1.5.82	all	debconf	1.5.82
debian-archive-keyring	2023.3+deb12u2	all	debian-archive-keyring	2023.3+deb12u2
debianutils	5.7-0.5~deb12u1	arm64	debianutils	5.7-0.5~deb12u1
diffutils	1:3.8-4	arm64	diffutils	1:3.8-4
dirmngr	2.2.40-1.1+deb12u2	arm64	gnupg2	2.2.40-1.1+deb12u2
dpkg	1.21.23	arm64	dpkg	1.21.23
e2fsprogs	1.47.0-2+b2	arm64	e2fsprogs	1.47.0-2
findutils	4.9.0-4	arm64	findutils	4.9.0-4
gcc-12-base:arm64	12.2.0-14+deb12u1	arm64	gcc-12	12.2.0-14+deb12u1
gnupg	2.2.40-1.1+deb12u2	all	gnupg2	2.2.40-1.1+deb12u2
gnupg-l10n	2.2.40-1.1+deb12u2	all	gnupg2	2.2.40-1.1+deb12u2
gnupg-utils	2.2.40-1.1+deb12u2	arm64	gnupg2	2.2.40-1.1+deb12u2
gpg	2.2.40-1.1+deb12u2	arm64	gnupg2	2.2.40-1.1+deb12u2
gpg-agent	2.2.40-1.1+deb12u2	arm64	gnupg2	2.2.40-1.1+deb12u2
gpg-wks-client	2.2.40-1.1+deb12u2	arm64	gnupg2	2.2.40-1.1+deb12u2
gpg-wks-server	2.2.40-1.1+deb12u2	arm64	gnupg2	2.2.40-1.1+deb12u2
gpgconf	2.2.40-1.1+deb12u2	arm64	gnupg2	2.2.40-1.1+deb12u2
gpgsm	2.2.40-1.1+deb12u2	arm64	gnupg2	2.2.40-1.1+deb12u2
gpgv	2.2.40-1.1+deb12u2	arm64	gnupg2	2.2.40-1.1+deb12u2
grep	3.8-5	arm64	grep	3.8-5
gzip	1.12-1	arm64	gzip	1.12-1
hostname	3.23+nmu1	arm64	hostname	3.23+nmu1
init-system-helpers	1.65.2+deb12u1	all	init-system-helpers	1.65.2+deb12u1
less	590-2.1~deb12u2	arm64	less	590-2.1~deb12u2
libacl1:arm64	2.3.1-3	arm64	acl	2.3.1-3
libapt-pkg6.0:arm64	2.6.1	arm64	apt	2.6.1
libassuan0:arm64	2.5.5-5	arm64	libassuan	2.5.5-5
libattr1:arm64	1:2.5.1-4	arm64	attr	1:2.5.1-4
libaudit-common	1:3.0.9-1	all	audit	1:3.0.9-1
libaudit1:arm64	1:3.0.9-1	arm64	audit	1:3.0.9-1
libblkid1:arm64	2.38.1-5+deb12u3	arm64	util-linux	2.38.1-5+deb12u3
libbsd0:arm64	0.11.7-2	arm64	libbsd	0.11.7-2
libbz2-1.0:arm64	1.0.8-5+b1	arm64	bzip2	1.0.8-5
libc-bin	2.36-9+deb12u14	arm64	glibc	2.36-9+deb12u14
libc-l10n	2.36-9+deb12u14	all	glibc	2.36-9+deb12u14
libc6:arm64	2.36-9+deb12u14	arm64	glibc	2.36-9+deb12u14
libcap-ng0:arm64	0.8.3-1+b3	arm64	libcap-ng	0.8.3-1
libcap2:arm64	1:2.66-4+deb12u3+b1	arm64	libcap2	1:2.66-4+deb12u3
libcom-err2:arm64	1.47.0-2+b2	arm64	e2fsprogs	1.47.0-2
libcrypt1:arm64	1:4.4.33-2	arm64	libxcrypt	1:4.4.33-2
libdb5.3:arm64	5.3.28+dfsg2-1	arm64	db5.3	5.3.28+dfsg2-1
libdebconfclient0:arm64	0.270	arm64	cdebconf	0.270
libedit2:arm64	3.1-20221030-2	arm64	libedit	3.1-20221030-2
libext2fs2:arm64	1.47.0-2+b2	arm64	e2fsprogs	1.47.0-2
libffi8:arm64	3.4.4-1	arm64	libffi	3.4.4-1
libgcc-s1:arm64	12.2.0-14+deb12u1	arm64	gcc-12	12.2.0-14+deb12u1
libgcrypt20:arm64	1.10.1-3+deb12u1	arm64	libgcrypt20	1.10.1-3+deb12u1
libgdbm-compat4:arm64	1.23-3	arm64	gdbm	1.23-3
libgdbm6:arm64	1.23-3	arm64	gdbm	1.23-3
libgmp10:arm64	2:6.2.1+dfsg1-1.1	arm64	gmp	2:6.2.1+dfsg1-1.1
libgnutls30:arm64	3.7.9-2+deb12u7	arm64	gnutls28	3.7.9-2+deb12u7
libgpg-error0:arm64	1.46-1	arm64	libgpg-error	1.46-1
libgssapi-krb5-2:arm64	1.20.1-2+deb12u5	arm64	krb5	1.20.1-2+deb12u5
libhogweed6:arm64	3.8.1-2	arm64	nettle	3.8.1-2
libicu72:arm64	72.1-3+deb12u1	arm64	icu	72.1-3+deb12u1
libidn2-0:arm64	2.3.3-1+b1	arm64	libidn2	2.3.3-1
libjson-perl	4.10000-1	all	libjson-perl	4.10000-1
libk5crypto3:arm64	1.20.1-2+deb12u5	arm64	krb5	1.20.1-2+deb12u5
libkeyutils1:arm64	1.6.3-2	arm64	keyutils	1.6.3-2
libkrb5-3:arm64	1.20.1-2+deb12u5	arm64	krb5	1.20.1-2+deb12u5
libkrb5support0:arm64	1.20.1-2+deb12u5	arm64	krb5	1.20.1-2+deb12u5
libksba8:arm64	1.6.3-2	arm64	libksba	1.6.3-2
libldap-2.5-0:arm64	2.5.13+dfsg-5	arm64	openldap	2.5.13+dfsg-5
libllvm19:arm64	1:19.1.7-3~deb12u1	arm64	llvm-toolchain-19	1:19.1.7-3~deb12u1
liblz4-1:arm64	1.9.4-1	arm64	lz4	1.9.4-1
liblzma5:arm64	5.4.1-1+deb12u2	arm64	xz-utils	5.4.1-1+deb12u2
libmd0:arm64	1.0.4-2	arm64	libmd	1.0.4-2
libmount1:arm64	2.38.1-5+deb12u3	arm64	util-linux	2.38.1-5+deb12u3
libncursesw6:arm64	6.4-4	arm64	ncurses	6.4-4
libnettle8:arm64	3.8.1-2	arm64	nettle	3.8.1-2
libnpth0:arm64	1.6-3	arm64	npth	1.6-3
libnss-wrapper:arm64	1.1.12-1	arm64	nss-wrapper	1.1.12-1
libnuma1:arm64	2.0.16-1	arm64	numactl	2.0.16-1
libp11-kit0:arm64	0.24.1-2	arm64	p11-kit	0.24.1-2
libpam-modules:arm64	1.5.2-6+deb12u2	arm64	pam	1.5.2-6+deb12u2
libpam-modules-bin	1.5.2-6+deb12u2	arm64	pam	1.5.2-6+deb12u2
libpam-runtime	1.5.2-6+deb12u2	all	pam	1.5.2-6+deb12u2
libpam0g:arm64	1.5.2-6+deb12u2	arm64	pam	1.5.2-6+deb12u2
libpcre2-8-0:arm64	10.42-1+deb12u1	arm64	pcre2	10.42-1+deb12u1
libperl5.36:arm64	5.36.0-7+deb12u3	arm64	perl	5.36.0-7+deb12u3
libpq5:arm64	18.6-1.pgdg12+2	arm64	postgresql-18	18.6-1.pgdg12+2
libreadline8:arm64	8.2-1.3	arm64	readline	8.2-1.3
libsasl2-2:arm64	2.1.28+dfsg-10	arm64	cyrus-sasl2	2.1.28+dfsg-10
libsasl2-modules-db:arm64	2.1.28+dfsg-10	arm64	cyrus-sasl2	2.1.28+dfsg-10
libseccomp2:arm64	2.5.4-1+deb12u1	arm64	libseccomp	2.5.4-1+deb12u1
libselinux1:arm64	3.4-1+b6	arm64	libselinux	3.4-1
libsemanage-common	3.4-1	all	libsemanage	3.4-1
libsemanage2:arm64	3.4-1+b5	arm64	libsemanage	3.4-1
libsepol2:arm64	3.4-2.1	arm64	libsepol	3.4-2.1
libsmartcols1:arm64	2.38.1-5+deb12u3	arm64	util-linux	2.38.1-5+deb12u3
libsqlite3-0:arm64	3.40.1-2+deb12u2	arm64	sqlite3	3.40.1-2+deb12u2
libss2:arm64	1.47.0-2+b2	arm64	e2fsprogs	1.47.0-2
libssl3:arm64	3.0.20-1~deb12u2	arm64	openssl	3.0.20-1~deb12u2
libstdc++6:arm64	12.2.0-14+deb12u1	arm64	gcc-12	12.2.0-14+deb12u1
libsystemd0:arm64	252.39-1~deb12u2	arm64	systemd	252.39-1~deb12u2
libtasn1-6:arm64	4.19.0-2+deb12u1	arm64	libtasn1-6	4.19.0-2+deb12u1
libtinfo6:arm64	6.4-4	arm64	ncurses	6.4-4
libudev1:arm64	252.39-1~deb12u2	arm64	systemd	252.39-1~deb12u2
libunistring2:arm64	1.0-2	arm64	libunistring	1.0-2
liburing2:arm64	2.3-3	arm64	liburing	2.3-3
libuuid1:arm64	2.38.1-5+deb12u3	arm64	util-linux	2.38.1-5+deb12u3
libxml2:arm64	2.9.14+dfsg-1.3~deb12u6	arm64	libxml2	2.9.14+dfsg-1.3~deb12u6
libxslt1.1:arm64	1.1.35-1+deb12u4	arm64	libxslt	1.1.35-1+deb12u4
libxxhash0:arm64	0.8.1-1	arm64	xxhash	0.8.1-1
libz3-4:arm64	4.8.12-3.1	arm64	z3	4.8.12-3.1
libzstd1:arm64	1.5.4+dfsg2-5	arm64	libzstd	1.5.4+dfsg2-5
locales	2.36-9+deb12u14	all	glibc	2.36-9+deb12u14
login	1:4.13+dfsg1-1+deb12u2	arm64	shadow	1:4.13+dfsg1-1+deb12u2
logsave	1.47.0-2+b2	arm64	e2fsprogs	1.47.0-2
mawk	1.3.4.20200120-3.1	arm64	mawk	1.3.4.20200120-3.1
mount	2.38.1-5+deb12u3	arm64	util-linux	2.38.1-5+deb12u3
ncurses-base	6.4-4	all	ncurses	6.4-4
ncurses-bin	6.4-4	arm64	ncurses	6.4-4
netbase	6.4	all	netbase	6.4
openssl	3.0.20-1~deb12u2	arm64	openssl	3.0.20-1~deb12u2
passwd	1:4.13+dfsg1-1+deb12u2	arm64	shadow	1:4.13+dfsg1-1+deb12u2
perl	5.36.0-7+deb12u3	arm64	perl	5.36.0-7+deb12u3
perl-base	5.36.0-7+deb12u3	arm64	perl	5.36.0-7+deb12u3
perl-modules-5.36	5.36.0-7+deb12u3	all	perl	5.36.0-7+deb12u3
pinentry-curses	1.2.1-1	arm64	pinentry	1.2.1-1
